Page URL,Image URL,Status
https://blog.thelowdown.com/blog/blood-clots-and-contraception-what-are-the-risks#primary,https://theldown.com//www/wp-content/uploads/2020/10/progestone_table-1024x860.png,Failed to fetch
https://blog.thelowdown.com/blog/removing-iud-pandemic#primary,https://theldown.com//www/wp-content/uploads/2021/07/unnamed-rotated.jpg,Failed to fetch
https://blog.thelowdown.com/blog/my-experience-of-the-injection-and-fertility,https://theldown.com//www/wp-content/uploads/2021/02/SP.jpg,Failed to fetch
https://blog.thelowdown.com/blog/covid-19-vaccine-fertility-periods,https://theldown.com//www/wp-content/uploads/2021/06/biology-10-00238-g004.jpg,Failed to fetch
https://blog.thelowdown.com/blog/androgens,https://theldown.com//www/wp-content/uploads/2020/09/androgens-1024x701.png,Failed to fetch
https://blog.thelowdown.com/blog/blood-clots-and-contraception-what-are-the-risks,https://theldown.com//www/wp-content/uploads/2020/10/progestone_table-1024x860.png,Failed to fetch
https://blog.thelowdown.com/blog/androgens#contraception,https://theldown.com//www/wp-content/uploads/2020/09/androgens-1024x701.png,Failed to fetch
https://blog.thelowdown.com/blog/androgens#vs,https://theldown.com//www/wp-content/uploads/2020/09/androgens-1024x701.png,Failed to fetch
https://blog.thelowdown.com/blog/my-contraceptive-journey-from-implant-to-eating-disorder,https://theldown.com//www/wp-content/uploads/2020/06/implant-2-arm-scaled-1.jpg,Failed to fetch
https://blog.thelowdown.com/blog/androgens#primary,https://theldown.com//www/wp-content/uploads/2020/09/androgens-1024x701.png,Failed to fetch
https://blog.thelowdown.com/blog/an-introduction-to-your-hormones-and-menstrual-cycle#primary,https://theldown.com//www/wp-content/uploads/2020/09/luteal-1024x817.png,Failed to fetch
https://blog.thelowdown.com/blog/an-introduction-to-your-hormones-and-menstrual-cycle,https://theldown.com//www/wp-content/uploads/2020/09/luteal-1024x817.png,Failed to fetch
https://blog.thelowdown.com/blog/androgens#about,https://theldown.com//www/wp-content/uploads/2020/09/androgens-1024x701.png,Failed to fetch
https://blog.thelowdown.com/blog/my-experience-of-the-injection-and-fertility#primary,https://theldown.com//www/wp-content/uploads/2021/02/SP.jpg,Failed to fetch
https://blog.thelowdown.com/blog/covid-19-vaccine-fertility-periods#primary,https://theldown.com//www/wp-content/uploads/2021/06/biology-10-00238-g004.jpg,Failed to fetch
https://blog.thelowdown.com/blog/removing-iud-pandemic,https://theldown.com//www/wp-content/uploads/2021/07/unnamed-rotated.jpg,Failed to fetch
https://blog.thelowdown.com/blog/my-contraceptive-journey-from-implant-to-eating-disorder#primary,https://theldown.com//www/wp-content/uploads/2020/06/implant-2-arm-scaled-1.jpg,Failed to fetch
